一级评论;实际爬取到的二级评论内容;单条评论情绪值;一级评论平均情绪值
能不能说说，为啥我支付成功，他不显示会员[苦涩];非常抱歉出现这样的情况！私信里之前已经回复您了，我们会全力尽快解决;-0.9313795023071163
别上明侦，明侦对嘉宾要求很高，玩不好容易被骂;回复@黑屏黑屏黑:哈哈哈哈我算是从第一季看到第八季，豆瓣资深玩家[doge][doge]（玩的不好真的会被骂的很厉害哈哈哈哈）;0.9960522043613886
别上明侦，明侦对嘉宾要求很高，玩不好容易被骂;不过我还真不知道这个，我是这节目路人粉偶尔看一下[傻眼]能想到的国内剧本杀节目也就这个了;0.2618193121780854
-------;--------;--------;0.628935758269737
mg不是要搞女子推理社么，感觉这个更好一点。mz毕竟是老节目很多观众对新玩家包容度并不高（特别是女玩家...），虽然很想看她们的演绎[单身青蛙];回复@黑屏黑屏黑:因朋进组出专辑开演唱会，姐们加油[丰收了];0.23773942234198642
mg不是要搞女子推理社么，感觉这个更好一点。mz毕竟是老节目很多观众对新玩家包容度并不高（特别是女玩家...），虽然很想看她们的演绎[单身青蛙];回复@Hillwer_:现在来看，还是梦一个因朋2可能性更大[苦涩];0.7212348065284799
mg不是要搞女子推理社么，感觉这个更好一点。mz毕竟是老节目很多观众对新玩家包容度并不高（特别是女玩家...），虽然很想看她们的演绎[单身青蛙];回复@黑屏黑屏黑:好像是的，买了版权。阵容现在有瓜，不过真假难辨[单身青蛙]很希望她们参加但感觉可能性不大呜呜;0.04273664801811172
mg不是要搞女子推理社么，感觉这个更好一点。mz毕竟是老节目很多观众对新玩家包容度并不高（特别是女玩家...），虽然很想看她们的演绎[单身青蛙];女子推理社是准备效仿韩国那个女高推理班吗，那个节目特别好，如果mg做得跟那个质量差不多的话会很好看[哆啦A梦吃惊]确实老节目会有不包容新人的情况，如果她们参加全女推理综也是再好不过了[求关注];0.9998681778537051
-------;--------;--------;0.5003947636855708
晚安;[鲜花][鲜花][鲜花];0.6802964296606346
-------;--------;--------;0.6802964296606346
晚安，商医[鲜花]http://t.cn/A6CNEDKv;好梦哦[心];0.8321656398914326
-------;--------;--------;0.8321656398914326
晚安[心]http://t.cn/A6CN1MAe;[鲜花][鲜花][鲜花];0.6802964296606346
-------;--------;--------;0.6802964296606346
晚安商医[打call][打call]http://t.cn/A6CNRZES;晚安啦[月亮];0.7385075628911968
-------;--------;--------;0.7385075628911968
每天努力一点点，惊喜就在不远处等着你。晚安🌈;晚安啦[抱一抱][抱一抱][抱一抱];0.9932470939714286
-------;--------;--------;0.9932470939714286
晚安[鲜花];[抱一抱][抱一抱][抱一抱];0.9888010227717605
-------;--------;--------;0.9888010227717605
晚安[爱你][爱你][爱你]http://t.cn/A6CNnbeZ;[心][心][心];0.9153097204935656
-------;--------;--------;0.9153097204935656
晚安[心]http://t.cn/A6CN8Rqt;好梦哦[鲜花];0.7406515482288609
-------;--------;--------;0.7406515482288609
晚安[月亮]http://t.cn/A6CNnpDr;[打call][打call][打call];-0.10464308298026648
-------;--------;--------;-0.10464308298026648
晚安[月亮]http://t.cn/A6CNERto;[月亮][月亮][月亮];0.9535384641978415
-------;--------;--------;0.9535384641978415
晚安[月亮]http://t.cn/A6CNjvl3;做个好梦[月亮];0.8560180080542497
-------;--------;--------;0.8560180080542497
晚安[打call]来和茂茂互动吖[羞嗒嗒][羞嗒嗒];[心][心][心];0.9153097204935656
-------;--------;--------;0.9153097204935656
晚安[月亮]http://t.cn/A6CN3PAr;[月亮][月亮][月亮];0.9535384641978415
-------;--------;--------;0.9535384641978415
晚安http://t.cn/A6CNEFsX[许愿星];[心][心][心];0.9153097204935656
-------;--------;--------;0.9153097204935656
晚安[惊喜];[月亮][月亮][月亮];0.9535384641978415
-------;--------;--------;0.9535384641978415
一年之际在于春，春天来了需努力！晚安🎊✨💕http://t.cn/A6C6JEdh;晚安咯[心];0.6167654276818466
-------;--------;--------;0.6167654276818466
晚安[心]http://t.cn/A6CNmltF;周六晚安[月亮];0.7385832342304506
-------;--------;--------;0.7385832342304506
晚安呀;[鲜花][鲜花][鲜花];0.6802964296606346
-------;--------;--------;0.6802964296606346
晚安啦[月亮]http://t.cn/A6CNEeK4;好梦哦[抱一抱];0.9118865087382262
-------;--------;--------;0.9118865087382262
图6/9都是我的爱啊！我的爱❤️[偷笑]。最后一图，绝大多数情况应该就是用平菇炸的，虽然也算好吃，但真不是鸡枞的味儿[偷笑]。点心推荐一家叫源贸园的，有种叫“回饼”的小点心是我的爱。介绍给你们，但不确定合你们口味[偷笑];回复@水草的迷:他家应该没有网店的;-0.14846909794457797
图6/9都是我的爱啊！我的爱❤️[偷笑]。最后一图，绝大多数情况应该就是用平菇炸的，虽然也算好吃，但真不是鸡枞的味儿[偷笑]。点心推荐一家叫源贸园的，有种叫“回饼”的小点心是我的爱。介绍给你们，但不确定合你们口味[偷笑];看了下淘宝店没有回饼;0.02787700962173867
-------;--------;--------;-0.06029604416141965
这家豆花米线我吃了;回复@水草的迷:对的，就记得人多;0.4583349823264897
这家豆花米线我吃了;回复@dongdonglv:排队队伍很长;-0.7217715388742425
这家豆花米线我吃了;回复@水草的迷:估计是一般，因为没有太深印象了;-0.2378626582688772
这家豆花米线我吃了;好吃吗？[嘻嘻];0.89745409387499
-------;--------;--------;0.09903871976459
请问这盘多少米出？;出了已经~;0.11465892597968064
-------;--------;--------;0.11465892597968064
西湖大学？;东林大学;0.9213098076876225
-------;--------;--------;0.9213098076876225
原图发我;1;-0.3462033462033467
-------;--------;--------;-0.3462033462033467
这是外传吗;回复@清玥YING:因为好像绝版了，二手也买不到的样子;-0.452979926643023
这是外传吗;Reply@Rabbitwool_梦比优斯出蓝光了么:噢……这个我一直没看完的，结果最终篇居然成了稀有商品？;0.9429108986551948
这是外传吗;应该算是最终篇，这两篇就是完结了。;0.5985303234671753
-------;--------;--------;0.362820431826449
哇去玩了吼吼看[抱一抱];回复@绿箭五糖薄荷糖:[抱一抱][抱一抱]人比景色更美;0.9987897117885072
哇去玩了吼吼看[抱一抱];云南真的好美[awsl];0.8688990062122912
-------;--------;--------;0.9338443590003992
真好;回复@L_2hi:五天;-0.8054107042044871
真好;回复@绿箭五糖薄荷糖:玩了几天;-0.1352090309214562
真好;恋恋不舍[苦涩];0.7261061111594251
-------;--------;--------;-0.07150454132217272
羡慕啊;回复@绿箭五糖薄荷糖:[泪]我也想打工;0.8858571357897755
羡慕啊;要回去打工了[苦涩];0.8312018572039253
-------;--------;--------;0.8585294964968504
这话我曾经在一个烩菜那看过[单身狗]最发疯的一月我还复制了这段话来着;和烩菜说同一句，晦气[左哼哼];-0.9183087201969771
这话我曾经在一个烩菜那看过[单身狗]最发疯的一月我还复制了这段话来着;我发的时候在看红楼梦，看到这一句，刚好想到百年之后哪怕姐这样的美人也只化为一抔黄土，百年之后的人们只能对着她的影像空自叹息慨叹自己生不逢时…而这个世界还需要多久才能孕育出下一个他，或许再也不会有了。;0.9999065907826279
-------;--------;--------;0.04079893529282541
你好帅;谢谢，你也是;0.19313304721030078
-------;--------;--------;0.19313304721030078
安逸;累趴[裂开][裂开][裂开];-0.9958114082887883
-------;--------;--------;-0.9958114082887883
仙木;嘿嘿;0.2881355932203393
-------;--------;--------;0.2881355932203393
大理床单厂艺术区;谢谢[爱你];0.5966134046268674
-------;--------;--------;0.5966134046268674
好多拼贴感真的无语，说他做了三天赶工的我都信[doge];回复@SUMMER旧梦安雪:太敷衍了实锤拿政哥转移视线了;-0.509472252129836
好多拼贴感真的无语，说他做了三天赶工的我都信[doge];[允悲]笑死了这件真的有一种王阳明再现的熟悉感;0.9984873227673585
-------;--------;--------;0.24450753531876124
这种质量拖了一年？忘川多久没出皮肤了，想要💰又没有产能怪谁;从去年3.19就开始画饼了;0.8405760151626587
-------;--------;--------;0.8405760151626587
是这样的，而且正常出大部分人都会买;[单身狗]我其实觉得吧这个皮肤也就中规中矩，说不上有多丑，但是你说它有多好看吧，它就给我一种“哦终于出了啊”的感觉，而不是“啊啊啊好喜欢！我期待的皮肤终于出了！！！”;0.9998251079445282
-------;--------;--------;0.9998251079445282
也不是，这个皮肤就算没前面这些事，客观来说设计也真的蛮一般的，尤其下半身特别敷衍;确实，下半身感觉好单薄;0.2292732590360873
-------;--------;--------;0.2292732590360873
我也是[泪];好难过[泪][泪][泪];0.9986127731741439
-------;--------;--------;0.9986127731741439
云南卫视[doge]或者b站找，下沧澜app看高清的;回复@王一博的竹马天降是翰衍吖:在B站搜《与彩云相遇》，必须从第一期看起，因为这个版本是重新剪接过的;0.893626265158157
云南卫视[doge]或者b站找，下沧澜app看高清的;回复@懒嚼基亚:为啥B站的第二期好像和芒果那个第二期预告不一样？;-0.959504555941957
云南卫视[doge]或者b站找，下沧澜app看高清的;app在哪下;-0.04408992136562229
云南卫视[doge]或者b站找，下沧澜app看高清的;B站也是有高清版的;0.2660143940222497
-------;--------;--------;0.03901154546820684
能任意转换就没有彩偶单独存在的必要了;回复@嗷呜嗷呜呱:你说得对;-0.4747625291126827
能任意转换就没有彩偶单独存在的必要了;回复@早桑未丧:那紫猫偶可以任意转换怎么啦，不就是相当于给猫灵偶出个皮肤;-0.1457775368831178
能任意转换就没有彩偶单独存在的必要了;回复@嗷呜嗷呜呱:喵思灯不提供任何购买渠道，说白了就是一个和喵灵偶有相同作用的活动代币。你哪期活动代币不都是单独的？;0.9137543360667231
能任意转换就没有彩偶单独存在的必要了;单纯好看挽救口碑呗，他都作死成这样了;0.8451391471790386
能任意转换就没有彩偶单独存在的必要了;喵思灯怎么说;-0.3165540715091981
-------;--------;--------;0.16435986914815262
哈哈哈哈哈哈现在这里不会被卡住吗;不会！;-0.20859450581057026
-------;--------;--------;-0.20859450581057026
早也潇潇晚也潇潇，早也点点晚也点点～;春城无处不飞花，百万内赞靠大家[666];0.9863475014656768
-------;--------;--------;0.9863475014656768
傲娇的原因，是🌲🍊的底气~;风声雨声读书声声声入耳，内👍🏻总👍🏻百万👍🏻，赞赞归祎。;0.4896312489297667
-------;--------;--------;0.4896312489297667
我愿意放弃修长生，与你共享刹那芳华。我愿意坚持到底，与你共享百万喜悦。;昨夜星辰昨夜风，今日百万今日冲[干饭人];0.995456545935905
-------;--------;--------;0.995456545935905
慢吞吞～总有借口拖延温存～你还想让百万停顿？;争渡。争渡。惊起一滩鸥鹭。速渡。速渡。冲起一波内👍🏻。;-0.2504426209331756
-------;--------;--------;-0.2504426209331756
向标记点前进！点指向处干活！👉🏻;巴山楚水凄凉地，二十四时近百万[来];0.9248417925005121
-------;--------;--------;0.9248417925005121
希望爹爹给我涨小用钱。希望橘橘给祎点内👍🏻。;巴山楚水凄凉地，二十四时近百万[来][赢牛奶];0.9561385445386041
-------;--------;--------;0.9561385445386041
早也潇潇晚也潇潇，早也点点晚也点点～;几处早莺争暖树，谁家蜜橘未点赞[心动超崽];0.9936766830569661
-------;--------;--------;0.9936766830569661
各自担心着失态，会尖叫不会点赞[上课了];角声满天秋色里，集合漫步百万中。;0.9837847763652054
-------;--------;--------;0.9837847763652054
我姓韩，名芸汐，你叫我芸汐就好了我乃🌲🍊人，你只管跟着我一起冲就好了。;一道残阳铺水中，一波内赞往前冲[彩虹屁];0.6716058960213711
-------;--------;--------;0.6716058960213711
听说A市女霸总小祎喜欢有实力的，想要征服小1还不快快叫出百万！;一道残阳铺水中，一波内赞往前冲[彩虹屁][哇];0.6417532672410036
-------;--------;--------;0.6417532672410036
物理公式的G，就是你～完成百万的橘～就是你～;昨夜星辰昨夜风，今日百万今日冲[干饭人];0.995456545935905
-------;--------;--------;0.995456545935905
[老师好][老师好][老师好];回复@a酒心巧克力糖糖:我也会将你们的爱心完整转交给孩子们[心]同时让让更多的人感受到正能量偶像孟鹤堂先生粉丝的关爱[心];0.9999964009145506
[老师好][老师好][老师好];我会和孟鹤堂及其粉丝一样，继续公益献爱心的！;0.9996307100060557
-------;--------;--------;0.9998135554603031
想出去玩的瘾又犯了[泪];回复@橙子茶Yi:哈哈哈因为请假都是周五或者周一，连着周末，周末从不加班，疫情那次特殊除外;0.9767173796833888
想出去玩的瘾又犯了[泪];回复@宋之啊:为啥我觉得你总有时间出去玩[允悲];0.939385630270489
想出去玩的瘾又犯了[泪];回复@橙子茶Yi:一年只有5天年假还不能一次性请[泪];0.6349950540476013
想出去玩的瘾又犯了[泪];有假期吗，约吗[笑cry]我还有好几个月假期;0.5197595922615894
-------;--------;--------;0.7677144140657672
不是在家吗出去玩了呀;参加活动嘛，这都好几年的库存;0.5384913658388841
-------;--------;--------;0.5384913658388841
黑嬴政，吸嬴政的血，拿嬴政挡枪，还要拿嬴政赚钱，多大仇啊[哆啦A梦害怕];回复@小橘喵的糯米团子君:。。。确实有些人设好不合理[失望];0.5792921089321112
黑嬴政，吸嬴政的血，拿嬴政挡枪，还要拿嬴政赚钱，多大仇啊[哆啦A梦害怕];回复@假装纯情男高_:自闭人设和政哥主线……只能说政哥纯纯工具人了[泪];0.9772595369039883
黑嬴政，吸嬴政的血，拿嬴政挡枪，还要拿嬴政赚钱，多大仇啊[哆啦A梦害怕];其他没太了解只是这次拿政哥当工具人真的太太太太太太太生气了;-0.8621442812370634
-------;--------;--------;0.23146912153301202
冲喜这个词，我泪目了[苦涩][苦涩][苦涩];我真的就是这种感觉[泪][泪]谁想要喜欢的被当作工具啊[悲伤][悲伤][悲伤];0.9999999897989671
-------;--------;--------;0.9999999897989671
仔细一看发现这皮肤还挺敷衍，觉得政厨好打发了属于是;回复@希姆凛领主夫人:那确实！;-0.0045593166010522435
仔细一看发现这皮肤还挺敷衍，觉得政厨好打发了属于是;回复@假装纯情男高_:哈哈哈，这个形象我也是觉得很好看的，但是说他是准备了一年，我就会觉得很敷衍啦，抛开敷衍这点不说这皮肤确实好看的;-0.6969332778678805
仔细一看发现这皮肤还挺敷衍，觉得政厨好打发了属于是;[悲伤][悲伤]呜呜其实我个人觉得像是遇见了长生的政哥这个点子我还是有点喜欢（但我不会买！）;0.9991619620991616
-------;--------;--------;0.09922312254340963
而且这个皮肤的下半身比上半身还敷衍[拜拜];其实我最不满意的是手套变成整个了[doge];0.09645383955249054
-------;--------;--------;0.09645383955249054
政哥真的是被他当工具人，纯纯秦黑没办法[怒]玩家的话它是一点不听;感觉秦被拿出来当工具人好几次了。。。[悲伤];0.988443875108713
-------;--------;--------;0.988443875108713
我的评价就是这个皮肤它好看，但是它不值得[拜拜][拜拜];已经气死了[泪][泪][泪];0.9959839637499428
-------;--------;--------;0.9959839637499428
真的无语了，这个彩云，桃源废话的意思就是地卡就是这个抽了，保底都给你弄出来了;对啊就是不改呗就是头铁呗[怒];-0.6392145198360817
-------;--------;--------;-0.6392145198360817
没原皮好看;[失望][失望]害;-0.9855554269784805
-------;--------;--------;-0.9855554269784805
政厨表示，这游戏是不是觉得秦始皇不配穿秦国的黑色[嘻嘻];[悲伤]对啊我本来还挺期待玄黑的;0.9877698570137614
-------;--------;--------;0.9877698570137614
中午好呀;[鲜花];0.33333333333333415
-------;--------;--------;0.33333333333333415
比个爱心给你么么哒么么哒么么哒么么哒么么哒么么哒么么哒么么哒么么哒么么哒么么哒;[嘻嘻];0.8888888888888888
-------;--------;--------;0.8888888888888888
豆豆摘了幾多粒？;一篮子;0.0
-------;--------;--------;0.0
上午好[心];晚好;0.027017742260800892
-------;--------;--------;0.027017742260800892
踩踩[太开心];[亲亲];0.0
-------;--------;--------;0.0
慧慧，晚安[惊喜];晚好;0.027017742260800892
-------;--------;--------;0.027017742260800892
中午好么么哒[打call];么;0.052465563615616606
-------;--------;--------;0.052465563615616606
这昆虫小吴不怕了[羞嗒嗒];回复@TT-WJY:好嫌弃的表情[哈哈];-0.47803387805259545
这昆虫小吴不怕了[羞嗒嗒];回复@TT-WJY:她还敢近看，勇气可嘉[允悲];0.8899925127777373
这昆虫小吴不怕了[羞嗒嗒];感觉还挺怕的http://t.cn/A6CNUKsE;0.08960024412282719
-------;--------;--------;0.167186292949323
您说的是这个吗？http://t.cn/A6CNZcVd;我只看到一条！你这个好多云！[色][色][色];-0.9673415490915538
-------;--------;--------;-0.9673415490915538
所以你们有看到按摩时两个人的情侣手链吗[喵喵]http://t.cn/A6CNw00l;哭了[泪]我刚想说，竟然有一样的街坊[泪][泪];0.9985101103640839
所以你们有看到按摩时两个人的情侣手链吗[喵喵]http://t.cn/A6CNw00l;Sa的可能留在上海忘了帶回香港，最近都沒看到，過幾天再瞧瞧[doge];0.44645188302404804
所以你们有看到按摩时两个人的情侣手链吗[喵喵]http://t.cn/A6CNw00l;那个手链超级明显[挤眼][挤眼];0.09135743957302123
所以你们有看到按摩时两个人的情侣手链吗[喵喵]http://t.cn/A6CNw00l;wow课代表;0.5379997257260138
所以你们有看到按摩时两个人的情侣手链吗[喵喵]http://t.cn/A6CNw00l;[哇][哇];0.0
-------;--------;--------;0.4148638317374334
冰冰老师一出现就有饭吃[doge][doge][doge]。都快成冰冰老师忠实粉丝了[doge];回复@冰冰妹子:哦还有这说法啊那就追粉丝的微博[doge][鲜花];0.13764493472476524
冰冰老师一出现就有饭吃[doge][doge][doge]。都快成冰冰老师忠实粉丝了[doge];回复@Annabelle_TFsagill:[抱一抱][抱一抱][抱一抱]么么哒;0.9128086688795853
冰冰老师一出现就有饭吃[doge][doge][doge]。都快成冰冰老师忠实粉丝了[doge];回复@冰冰妹子:哈哈哈哈哈，忠于你剪辑的二位领导的视频[doge];-0.668806895034918
冰冰老师一出现就有饭吃[doge][doge][doge]。都快成冰冰老师忠实粉丝了[doge];追星不追粉咱是同路人[抱一抱];0.7983419538857948
-------;--------;--------;0.29499716561380684
聪明的娇仔游戏抓到姐姐的特征轻松拉下水，糖雷防不胜防[打call][打call][打call];回复@冰冰妹子:就是有点懒散[doge];-0.8031613339430386
聪明的娇仔游戏抓到姐姐的特征轻松拉下水，糖雷防不胜防[打call][打call][打call];哈哈哈哈哈哈她非常厉害每次脑子转的特别快如果她想转的时候;0.9419063002487358
-------;--------;--------;0.06937248315284861
@鍾欣潼最好的心安地，只因🈶@蔡卓妍在的任何地@蔡卓妍最好的疯和闹，只因@鍾欣潼事事🈶回应#sa娇[超话]##我的偶像是twins#;永远都喜欢这一对[抱一抱][抱一抱][抱一抱][抱一抱];0.9995309057081632
@鍾欣潼最好的心安地，只因🈶@蔡卓妍在的任何地@蔡卓妍最好的疯和闹，只因@鍾欣潼事事🈶回应#sa娇[超话]##我的偶像是twins#;[心][心][心][心];0.967013069046327
-------;--------;--------;0.9832719873772451
娇和其他姐姐在一起时就会偶尔沉浸在自己的世界里但是和sa在一起娇就是sa的反应弹一样永远及时的给sasa反应撒娇卖萌小脑瓜转贼快[允悲][允悲][允悲];对！每次都给sa回应！;0.5144342650270122
-------;--------;--------;0.5144342650270122
cici:栓q差点给我炫翻;哈哈哈哈哈哈哈哈;0.9502698546008197
cici:栓q差点给我炫翻;哈哈哈哈哈哈哈哈哈哈;0.9914539731859733
-------;--------;--------;0.9708619138933965
一直逼着王姐说方言时候不要太离谱🥹;主要是你再想想小狗平常的语速[doge];-0.6598372675238624
一直逼着王姐说方言时候不要太离谱🥹;让她笑那么大声要还的[喵喵];-0.8463530508622297
-------;--------;--------;-0.753095159193046
眼里全是藏不住的爱意啊;回复@冰冰妹子:臣附议;0.6083411600984843
眼里全是藏不住的爱意啊;回复@冰冰妹子:附议！;-0.5563262015564165
眼里全是藏不住的爱意啊;多来点这样的综艺我爱看[苦涩];0.9023188853447903
-------;--------;--------;0.31811128129561933
小机灵鬼的几次主动坑人都是丝滑的。;游戏大王钟欣潼[求饶];-0.2603634844285818
-------;--------;--------;-0.2603634844285818
她在闹她在笑，好甜;自带情侣氛围[憧憬];0.529922509257466
-------;--------;--------;0.529922509257466
“我都不会撒娇的～”[喵喵];撒娇只针对某人[doge];0.23246387099626897
-------;--------;--------;0.23246387099626897
我太爱这期了[抱一抱];我也好爱[哇];0.6721959045049746
-------;--------;--------;0.6721959045049746
玩了一天都无聊，睡衣走秀就这么兴奋;玩游戏都比较兴奋哈哈哈;0.9904677866438762
-------;--------;--------;0.9904677866438762
祝百年好合;早生贵子;-0.1175751909842131
-------;--------;--------;-0.1175751909842131
这个版本可以[嘻嘻][嘻嘻][嘻嘻];回复@冰冰妹子:眼光一向不错[嘻嘻][嘻嘻][嘻嘻];0.9999669841821919
这个版本可以[嘻嘻][嘻嘻][嘻嘻];[喵喵]有眼光;0.3715083140481841
-------;--------;--------;0.685737649115188
眼神和身体都不会骗人[抱一抱];她俩最爱！不接受反驳;0.7822734599384042
-------;--------;--------;0.7822734599384042
默契自然[团圆兔]满眼深情[哇]事事回应[举手];呜呜呜好甜🥹;0.6747510647370298
-------;--------;--------;0.6747510647370298
我真的爱你，没人能比拟[抱一抱][色];“我真的爱你句句不轻易”;0.6205000032617567
-------;--------;--------;0.6205000032617567
[哆啦A梦害怕][哆啦A梦害怕][哆啦A梦害怕]小蕾姐：这个我估计没有人会和你抢的。（为什么？为什么不抢？是不是大家都知道她们是情侣，要戴情侣款？！）;哈哈哈哈哈懂得都懂全员磕现场磕[喵喵];-0.8727121215409712
-------;--------;--------;-0.8727121215409712
好喜欢这个剪辑，也有可能是我特别喜欢这个背景音乐;回复@冰冰妹子:对！就是唯一！！;-0.7787869512688164
好喜欢这个剪辑，也有可能是我特别喜欢这个背景音乐;“证明你就是我的唯一”;-0.07069693538361066
-------;--------;--------;-0.4247419433262135
娇其实可以赢的就是败在了阿sa只要是对方无畏输赢了[鲜花];回复@冰冰妹子:就是传说中的你走我跟你一起走[偷笑];0.3030547172247311
娇其实可以赢的就是败在了阿sa只要是对方无畏输赢了[鲜花];但是sa机灵输娇也是罪魁祸首[喵喵]她移位置移的比谁都快哈哈哈所以她俩是相互自燃了🔥;0.9992576926337757
-------;--------;--------;0.6511562049292534
一个组合能维持20多年真得靠真姐妹情;作秀做不了那么久[苦涩];0.4817324976313089
-------;--------;--------;0.4817324976313089
这集糖分报表[打call][打call][打call];我觉得每一期都好多高能哦！今天看了78两期也给我甜死了[苦涩];0.982723328649755
-------;--------;--------;0.982723328649755
但是为什么是悲伤的bgm🥺;明明用的是《唯一》;-0.5809985604054502
-------;--------;--------;-0.5809985604054502
这到底是啥综艺？怎么全是浪姐的人;回复@冰冰妹子:一个晚上也没找到能看的，急死我了[允悲];-0.023883664502289736
这到底是啥综艺？怎么全是浪姐的人;回复@青的筱雨:好像是因为刚好发布了一个综艺不能三个港澳台常驻然后卡在了国庆那个点就停播了。具体是不是我也不清楚也有人说母带弄坏了;-0.9670015546243329
这到底是啥综艺？怎么全是浪姐的人;回复@冰冰妹子:云南国际是app？啥原因不给播啊，该不会她俩太明显了吧[笑而不语];-0.9596253443983078
这到底是啥综艺？怎么全是浪姐的人;回复@青的筱雨:当然播了一期就因为一些原因停播了。所以后期没播了现在改了名字在另一个台播出“云南国际”一个很小众的台画质也不太好也只有我们粉丝捞出来自己看了;0.979149605063159
这到底是啥综艺？怎么全是浪姐的人;回复@冰冰妹子:为啥芒果tv里只有一期？2022年的;-0.9545040726315355
这到底是啥综艺？怎么全是浪姐的人;回复@青的筱雨:对;0.33537234312385644
这到底是啥综艺？怎么全是浪姐的人;回复@冰冰妹子:就和乐队的海边一样也是浪姐延伸出来的嘛;0.3267815152971527
这到底是啥综艺？怎么全是浪姐的人;浪姐的衍生节目一开始叫星星的约定在湖南卫视播，后来出了一些状况停播了，现在在云南国际台播改名为《与彩云相遇》;0.1544544298713575
-------;--------;--------;-0.13865709285011754
娇仔的惩罚是什么[思考]，后面举杯的时候sa脸怎么这么红，还是我看错了。[钢铁侠][钢铁侠];不知道是不是把娇惩罚那里剪了还是因为sa反应太快小蕾刚说完娇输了sa马上就去套路王心凌然后王心凌也输了就实行她的惩罚唱一首歌就忘了娇的惩罚;0.9999921345205935
-------;--------;--------;0.9999921345205935
阿sa用姐妹情道德绑架五斤盐那块儿真的把我笑疯了！！！;同归于尽[喵喵];0.47874429418809705
-------;--------;--------;0.47874429418809705
會一直是對方最重要的人[团圆兔][哇][心];会一直是～;0.16149215895878388
-------;--------;--------;0.16149215895878388
进门就问今天情况，不愧是老夫老妻;这不就是老夫老妻分享日常回家后问问对方都干了什么;0.5525517345656101
