一级评论;实际爬取到的二级评论内容;单条评论情绪值;一级评论平均情绪值
AI写出来的，给AI看，凑DAU，AI刷流量，卖给AI投放;闭环了;0.14612565721681858
用过的，ai写作逻辑性差到离谱，牛头不对马嘴的。我上一句话都写的地球上除了我没有人类了，下一句话这AI能给我整出王大爷下午过来串门还问我为什么地球上没有人了这种奇葩语句。;没毛病，你和王大爷都不是人;0.7350799113435613
用过的，ai写作逻辑性差到离谱，牛头不对马嘴的。我上一句话都写的地球上除了我没有人类了，下一句话这AI能给我整出王大爷下午过来串门还问我为什么地球上没有人了这种奇葩语句。;笑哭笑哭笑哭笑哭笑哭笑哭笑哭笑哭笑哭笑哭笑哭笑哭笑哭笑哭;0.12324046744630746
用过的，ai写作逻辑性差到离谱，牛头不对马嘴的。我上一句话都写的地球上除了我没有人类了，下一句话这AI能给我整出王大爷下午过来串门还问我为什么地球上没有人了这种奇葩语句。;属于是鬼故事了。;0.6639516212769501
用过的，ai写作逻辑性差到离谱，牛头不对马嘴的。我上一句话都写的地球上除了我没有人类了，下一句话这AI能给我整出王大爷下午过来串门还问我为什么地球上没有人了这种奇葩语句。;我觉得这么写更好，反正书也没人看，你这么写没准火了;-0.35900113838589
用过的，ai写作逻辑性差到离谱，牛头不对马嘴的。我上一句话都写的地球上除了我没有人类了，下一句话这AI能给我整出王大爷下午过来串门还问我为什么地球上没有人了这种奇葩语句。;可以试试ChatGPT;0.46501343013005014
用过的，ai写作逻辑性差到离谱，牛头不对马嘴的。我上一句话都写的地球上除了我没有人类了，下一句话这AI能给我整出王大爷下午过来串门还问我为什么地球上没有人了这种奇葩语句。;回复量子憨憨用过了，比一般的强点，写下简单作文还是可以，写长篇还是算了，而且逻辑性只有正向的，不能逆向纠错，我问武松打虎的时候用的是什么手枪，它说用的是制式格洛克，子弹17发更大容量而且从怀里掏出100块钱跟从怀里摸出100块钱是有很大差别的，AI目前还搞不定长篇。;0.9960796872829281
用过的，ai写作逻辑性差到离谱，牛头不对马嘴的。我上一句话都写的地球上除了我没有人类了，下一句话这AI能给我整出王大爷下午过来串门还问我为什么地球上没有人了这种奇葩语句。;只能当个写作方向的提示，想要贴合原文，我觉得是很难的;0.30825099390510635
用过的，ai写作逻辑性差到离谱，牛头不对马嘴的。我上一句话都写的地球上除了我没有人类了，下一句话这AI能给我整出王大爷下午过来串门还问我为什么地球上没有人了这种奇葩语句。;回复遊骑兵笑死我了哈哈哈笑哭;0.7536106707472932
用过的，ai写作逻辑性差到离谱，牛头不对马嘴的。我上一句话都写的地球上除了我没有人类了，下一句话这AI能给我整出王大爷下午过来串门还问我为什么地球上没有人了这种奇葩语句。;ai都有强逻辑性了还要人来干嘛，能提供一些细节的描写和思路即可，骨干内容还是得自己构思;0.9945296558850116
-------;--------;--------;0.5200839221812577
你现在都不知道自己的文案是你写成的，还是AI写成的;自己的文案还是知道的;0.5698186045221221
你现在都不知道自己的文案是你写成的，还是AI写成的;回复不务正业小木吃着明白看着糊涂自己清楚;-0.9332649955204839
你现在都不知道自己的文案是你写成的，还是AI写成的;回复INFP的我懂王？;-0.14837593881462063
你现在都不知道自己的文案是你写成的，还是AI写成的;回复不务正业小木只是应用铁齿铜牙纪晓岚里的一句话;-0.14818136877034394
-------;--------;--------;-0.1650009246458316
妈耶，很久不关注软件了，现在都发展到这个地步了吗。。。。脸红脸红脸红真牛皮;Ai时代已经来到;0.6621992843524458
-------;--------;--------;0.6621992843524458
牛批啊;滑稽滑稽;0.27656474730665037
-------;--------;--------;0.27656474730665037
明人不说暗话，多钱;免费用着;0.2693333333333334
-------;--------;--------;0.2693333333333334
等你熟悉了，习惯了，依赖了就收费？;至少前期白嫖了吃瓜;0.7110206143041402
等你熟悉了，习惯了，依赖了就收费？;害怕可以不用哈哈;-0.44958560177487383
-------;--------;--------;0.1307175062646332
这个可以离线用吗脸红;需要网络;-0.1230769230769233
-------;--------;--------;-0.1230769230769233
绝脱单doge脱单doge;支持支持支持;0.5864119502643033
绝脱单doge脱单doge;用起来;0.052465563615616606
-------;--------;--------;0.31943875693995993
智能文章改写和续写那两个是软件下载还是网址？;都是用秘塔写作猫，网站;0.17750010342752542
-------;--------;--------;0.17750010342752542
谢谢查重70;吃瓜ai写的论文，我就顺了顺逻辑。我用知网官网个人版查重，3呆;-0.7973251220761408
-------;--------;--------;-0.7973251220761408
查重率怎么样？;非常低，出乎意料，文科姐妹废话文学福音;0.8087868259588327
-------;--------;--------;0.8087868259588327
能不能写小h文;真有你的喔;-0.6618718521456675
-------;--------;--------;-0.6618718521456675
怎么邀请码不对不给加入;恭喜，你的手机号已泄露;-0.3553749910914794
怎么邀请码不对不给加入;回复rocksave是不是啊;-0.8360810379875472
怎么邀请码不对不给加入;回复中二的久九我道歉，这几天几篇论文都是靠的这个网站的量子速写速通的。能用手机号登录的，就是微信扫码登录不奏效;-0.7252864648363466
-------;--------;--------;-0.6389141646384577
这不就是注水文吗;是;0.052465563615616606
-------;--------;--------;0.052465563615616606
能降重吗;可以;0.052465563615616606
-------;--------;--------;0.052465563615616606
靠这个能写出本小说不，不敢说名著至少畅销书;你在做梦呢，还畅销书，ai写书逻辑差的要命，签约都签不上。真有这么简单那早就遍地大神作家了。;-0.9992544987748879
靠这个能写出本小说不，不敢说名著至少畅销书;用着写完再自己改，这就是洗稿。ai可没有大纲和细纲，只会一直水。;0.6399754849176724
-------;--------;--------;-0.17963950692860775
能帮我写工作总结吗;他搞不定的，;-0.8006773337867081
-------;--------;--------;-0.8006773337867081
手机写作猫app要收费;写作猫没有app哈，电脑网页直接搜索就可以;0.8008385588662987
手机写作猫app要收费;回复秘塔写作猫有一个没有秘塔前缀的;-0.4390681256572979
-------;--------;--------;0.1808852166045004
一下载电脑全是病毒什么下三滥玩意儿;不需要下载网页;-0.6733285084750626
-------;--------;--------;-0.6733285084750626
论文用这个82重复降到14;一样一样的，我145降到27脸红;-0.7454856014697635
-------;--------;--------;-0.7454856014697635
在哪里可以下载？;网页;-0.2000000000000004
-------;--------;--------;-0.2000000000000004
其余两个到底是啥？搜的搜不出来;同一个页面的，不同功能;-0.5397408252658102
-------;--------;--------;-0.5397408252658102
哈哈哈哈哈第一个就是熟悉的写作猫，想艾特一下一个人;王一快思考;0.9831620870028219
-------;--------;--------;0.9831620870028219
你手上是什么？;我也想知道哈哈哈哈;0.7528970484055715
-------;--------;--------;0.7528970484055715
补发个邀请码呀;不能领了吗;-0.3383234055027793
补发个邀请码呀;回复不务正业小木不能了;-0.9336684475362746
-------;--------;--------;-0.635995926519527
那有没有绘画灵感是软件;可以研究一下;0.6243093922651937
那有没有绘画灵感是软件;discodiffusion和WomboDream都挺好，取色很有帮助;0.7569217705565381
那有没有绘画灵感是软件;novelai;0.0
-------;--------;--------;0.4604103876072439
智能文章改写：文章智能续写这两个在哪里在UP麻烦给个地址呗;看置顶信息，根据视频页面就能找到啦;0.1379606504895068
-------;--------;--------;0.1379606504895068
你说的功能wps就有还是免费的;体验一样？不清楚;-0.018159237556079955
你说的功能wps就有还是免费的;文章续写？还是纠错？;0.7258050864712162
你说的功能wps就有还是免费的;wps有个智能写作;0.19549127274799538
-------;--------;--------;0.3010457072210439
三联打call打call，求软件;私信发你了，有讲到;-0.1707233932659682
三联打call打call，求软件;阿都学社，是我看过最全的AI集锦，是合集是合集，我就是在上面学到的，太全了;-0.6913111365202396
-------;--------;--------;-0.4310172648931039
大佬整点手机能用的app;可以的给个三连，下期讲解;0.8368746981074158
-------;--------;--------;0.8368746981074158
三连，求软件;发你了哦;-0.348511383537653
-------;--------;--------;-0.348511383537653
关注了;OK发你了;-0.716766152457954
-------;--------;--------;-0.716766152457954
学习学习;私信发你了，有讲到;-0.1707233932659682
-------;--------;--------;-0.1707233932659682
学习打call;自取康康这httpsb23tv80IAkUe;0.6041718539871468
-------;--------;--------;0.6041718539871468
学习;康康置顶链接，自取;0.8445613732315485
-------;--------;--------;0.8445613732315485
学习;好的，发你了;-0.09353227427371258
-------;--------;--------;-0.09353227427371258
学习星星眼;发你了;-0.348511383537653
-------;--------;--------;-0.348511383537653
学习;看看置顶自取;0.636462685390601
-------;--------;--------;0.636462685390601
学习;看看置顶自取哦;0.636462685390601
-------;--------;--------;0.636462685390601
学习;康康置顶评论哦;0.4812550807338811
-------;--------;--------;0.4812550807338811
学习;康康评论区置顶;0.2795824722178617
-------;--------;--------;0.2795824722178617
学习;好1康康置顶评论链接自己领取;-0.27817595105512116
-------;--------;--------;-0.27817595105512116
UP主加油看好你噢;谢谢自取康康这httpsb23tv80IAkUe;0.6872719649455976
-------;--------;--------;0.6872719649455976
学习;好的，看看置顶;0.8077435226339229
-------;--------;--------;0.8077435226339229
学习;好的，私信发你了;-0.14528489245292042
-------;--------;--------;-0.14528489245292042
谢谢;谢谢自取康康这httpsb23tv80IAkUe;0.6872719649455976
-------;--------;--------;0.6872719649455976
学习学习;好的，看置顶;0.3056891352697009
-------;--------;--------;0.3056891352697009
学习;谢谢自取康康这httpsb23tv80IAkUe;0.6872719649455976
-------;--------;--------;0.6872719649455976
学习;私信发你了，有讲到;-0.1707233932659682
-------;--------;--------;-0.1707233932659682
软件在哪领？已三连了;看看置顶;0.6913620808277696
-------;--------;--------;0.6913620808277696
学习学习打call;看置顶噢;0.7470661786921204
-------;--------;--------;0.7470661786921204
学习;看看置顶自取哦;0.636462685390601
-------;--------;--------;0.636462685390601
学习;康康评论区置顶;0.2795824722178617
-------;--------;--------;0.2795824722178617
学习;置顶评论链接自己领取喔;-0.7382978804382883
-------;--------;--------;-0.7382978804382883
学习;带你置顶评论链接自己领取;-0.6479254622461343
-------;--------;--------;-0.6479254622461343
学习，有手机的吗;有，置顶评论链接自取;0.4398966068963779
-------;--------;--------;0.4398966068963779
学习;康康置顶评论链接;0.25156134495752047
-------;--------;--------;0.25156134495752047
在哪里取软件？;私信发你了，有讲到;-0.1707233932659682
-------;--------;--------;-0.1707233932659682
软件看看呗;私发给你了;0.6318280729254799
-------;--------;--------;0.6318280729254799
软件是什么呀;置顶评论链接自取，告诉你;0.3096546462888077
-------;--------;--------;0.3096546462888077
学习学习;好置顶评论链接自取;-0.3208697301303498
-------;--------;--------;-0.3208697301303498
AI绘画工具StableDiffusionmidjourneyDALLE2代码辅助工具CopilotCodiumReplitA;为什么我点不开热词系列知识增加;0.5534797564195557
AI绘画工具StableDiffusionmidjourneyDALLE2代码辅助工具CopilotCodiumReplitA;谢谢你，笔记侠;0.6236944362565326
AI绘画工具StableDiffusionmidjourneyDALLE2代码辅助工具CopilotCodiumReplitA;这条和上面一条ai生成的笔记真是精准形成对比。。几乎一句废话都没有的概括了观众想要总结做笔记的内容笑哭;0.9366920267202357
AI绘画工具StableDiffusionmidjourneyDALLE2代码辅助工具CopilotCodiumReplitA;mark;0.4999999999999998
AI绘画工具StableDiffusionmidjourneyDALLE2代码辅助工具CopilotCodiumReplitA;m;0.0
AI绘画工具StableDiffusionmidjourneyDALLE2代码辅助工具CopilotCodiumReplitA;王炸ai工具;0.8471451029094523
AI绘画工具StableDiffusionmidjourneyDALLE2代码辅助工具CopilotCodiumReplitA;m;0.0
AI绘画工具StableDiffusionmidjourneyDALLE2代码辅助工具CopilotCodiumReplitA;课代表加十分;0.5140625552239886
AI绘画工具StableDiffusionmidjourneyDALLE2代码辅助工具CopilotCodiumReplitA;m;0.0
AI绘画工具StableDiffusionmidjourneyDALLE2代码辅助工具CopilotCodiumReplitA;脑机接口作为大脑与外界的连接工具，从根本意义上来说，不应该对大脑传递任何信号。大脑作为人的34私人领地34，其数据有重要的价值，容不得任何人侵犯。但是，随着人工智能的发展，人工智能作为人类辅助工具与大脑关系越来越密切，以大脑数据为基础的人工智能也会应运而生。34私人版ChatGPT34也会慢慢的进入个人生活。大脑数据价值的日益凸显，对大脑数据的研究和商业化已经是未来发展趋势，作为大脑数据的34主人翁34既可以自主选择其应用价值，也可以将其融入34私人版ChatGPT34作为自己的人工帮手。;0.9999998234239902
AI绘画工具StableDiffusionmidjourneyDALLE2代码辅助工具CopilotCodiumReplitA;1;-0.3462033462033467
AI绘画工具StableDiffusionmidjourneyDALLE2代码辅助工具CopilotCodiumReplitA;dali;0.0
AI绘画工具StableDiffusionmidjourneyDALLE2代码辅助工具CopilotCodiumReplitA;回复学习主义1927可能这个笔记侠也是ai;-0.280581925174769
AI绘画工具StableDiffusionmidjourneyDALLE2代码辅助工具CopilotCodiumReplitA;谢谢您笔记AI;0.6236944362565326
-------;--------;--------;0.35514163327372655
概要来自于AI智能chatgpt，chatgpt问题请见动态）本文介绍了多种王炸级AI工具，包括AI绘画、代码生成、写作和语音生成方面的工具。亮点;打call;-0.33333333333333326
概要来自于AI智能chatgpt，chatgpt问题请见动态）本文介绍了多种王炸级AI工具，包括AI绘画、代码生成、写作和语音生成方面的工具。亮点;这个。。是AI生成的吗;-0.6882377531542423
概要来自于AI智能chatgpt，chatgpt问题请见动态）本文介绍了多种王炸级AI工具，包括AI绘画、代码生成、写作和语音生成方面的工具。亮点;又是这个呆;0.15000000000000058
概要来自于AI智能chatgpt，chatgpt问题请见动态）本文介绍了多种王炸级AI工具，包括AI绘画、代码生成、写作和语音生成方面的工具。亮点;那么在哪里才能买到呢？;-0.2576813352791274
概要来自于AI智能chatgpt，chatgpt问题请见动态）本文介绍了多种王炸级AI工具，包括AI绘画、代码生成、写作和语音生成方面的工具。亮点;回复叶言飞目前已有现成账号，谁还写程序;-0.4416665747523354
概要来自于AI智能chatgpt，chatgpt问题请见动态）本文介绍了多种王炸级AI工具，包括AI绘画、代码生成、写作和语音生成方面的工具。亮点;这个总结看起来很高级，还有图标，但实际上抓不住观众真正关心的内容（这些软件的名称和核心亮点）。这大概就是目前AI的困境和陷阱。说是困境是因为AI目前还很难有这么深层的情感交互，说是陷阱是因为我们看到这样排版精美，格式整齐的文字就忍不住觉得不错，但仔细一看就会觉得空洞，甚至在有些时候ai还会编东西骗我们。;0.9999738837865315
概要来自于AI智能chatgpt，chatgpt问题请见动态）本文介绍了多种王炸级AI工具，包括AI绘画、代码生成、写作和语音生成方面的工具。亮点;脑机接口作为大脑与外界的连接工具，从根本意义上来说，不应该对大脑传递任何信号。大脑作为人的34私人领地34，其数据有重要的价值，容不得任何人侵犯。但是，随着人工智能的发展，人工智能作为人类辅助工具与大脑关系越来越密切，以大脑数据为基础的人工智能也会应运而生。34私人版ChatGPT34也会慢慢的进入个人生活。大脑数据价值的日益凸显，对大脑数据的研究和商业化已经是未来发展趋势，作为大脑数据的34主人翁34既可以自主选择其应用价值，也可以将其融入34私人版ChatGPT34作为自己的人工帮手。;0.9999998234239902
概要来自于AI智能chatgpt，chatgpt问题请见动态）本文介绍了多种王炸级AI工具，包括AI绘画、代码生成、写作和语音生成方面的工具。亮点;回复熊喵喵XDD谢谢您的反馈。的确，AI目前还存在一些限制，尤其是在情感交互和创造力方面。但是，AI在自动化和效率方面也有很大的潜力，可以帮助我们更快速地处理大量的信息和任务。当然，在使用AI时，我们也需要保持警惕，避免受到不准确或有误导性的信息的影响。;0.9997500602765774
概要来自于AI智能chatgpt，chatgpt问题请见动态）本文介绍了多种王炸级AI工具，包括AI绘画、代码生成、写作和语音生成方面的工具。亮点;回复熊喵喵XDD我觉得就很有用，基本上切中痛点，一口气连续使用了好几个（回了45封外导的邮件）。怎么说呢，有需求的才会看过来吧。无法共鸣的话说明这几个确实暂时用不上或不是目标用户，不用强行使用。或许可以有别的ai产品符合你的使用场景。;0.35482101531501264
-------;--------;--------;0.19818064292034154
AI总结视频：人工智能的工具不仅仅是ChatGPT这一类，还有AI绘画、AI写作、代码和语音生成等王炸级的工具。016AI绘画可以帮助设计师快速生成草图和模型，甚至可用于建筑和工程等领域的可视化概念设计。132AI代码辅助工具Copilot可以像技术大牛一样指导你省去查阅大量文档的时间。339AI工具Jasper可以帮助制作PPT的排版和配图，并提供免费试用。501使用MoveAI这一语音生成工具，可以根据视频内容挑选合适的配音风格，适合制作广告片配音。612修音工具可以将低质量音频转换成像在专业录音棚录制的效果，并生成仿真人像画面。BibiGPThttpsbjimmylvcn吕立青JimmyLvBV1fX4y1Q7Ux;不太准哈哈哈;0.5161610143840742
AI总结视频：人工智能的工具不仅仅是ChatGPT这一类，还有AI绘画、AI写作、代码和语音生成等王炸级的工具。016AI绘画可以帮助设计师快速生成草图和模型，甚至可用于建筑和工程等领域的可视化概念设计。132AI代码辅助工具Copilot可以像技术大牛一样指导你省去查阅大量文档的时间。339AI工具Jasper可以帮助制作PPT的排版和配图，并提供免费试用。501使用MoveAI这一语音生成工具，可以根据视频内容挑选合适的配音风格，适合制作广告片配音。612修音工具可以将低质量音频转换成像在专业录音棚录制的效果，并生成仿真人像画面。BibiGPThttpsbjimmylvcn吕立青JimmyLvBV1fX4y1Q7Ux;回复Xuan酱是的，确实不太准;-0.780854065925044
AI总结视频：人工智能的工具不仅仅是ChatGPT这一类，还有AI绘画、AI写作、代码和语音生成等王炸级的工具。016AI绘画可以帮助设计师快速生成草图和模型，甚至可用于建筑和工程等领域的可视化概念设计。132AI代码辅助工具Copilot可以像技术大牛一样指导你省去查阅大量文档的时间。339AI工具Jasper可以帮助制作PPT的排版和配图，并提供免费试用。501使用MoveAI这一语音生成工具，可以根据视频内容挑选合适的配音风格，适合制作广告片配音。612修音工具可以将低质量音频转换成像在专业录音棚录制的效果，并生成仿真人像画面。BibiGPThttpsbjimmylvcn吕立青JimmyLvBV1fX4y1Q7Ux;脑机接口作为大脑与外界的连接工具，从根本意义上来说，不应该对大脑传递任何信号。大脑作为人的34私人领地34，其数据有重要的价值，容不得任何人侵犯。但是，随着人工智能的发展，人工智能作为人类辅助工具与大脑关系越来越密切，以大脑数据为基础的人工智能也会应运而生。34私人版ChatGPT34也会慢慢的进入个人生活。大脑数据价值的日益凸显，对大脑数据的研究和商业化已经是未来发展趋势，作为大脑数据的34主人翁34既可以自主选择其应用价值，也可以将其融入34私人版ChatGPT34作为自己的人工帮手。;0.9999998234239902
-------;--------;--------;0.24510225729434013
视频里的xuan酱是不是也是AI合成的doge;doge被你发现了;-0.20608062016023032
视频里的xuan酱是不是也是AI合成的doge;脑机接口作为大脑与外界的连接工具，从根本意义上来说，不应该对大脑传递任何信号。大脑作为人的34私人领地34，其数据有重要的价值，容不得任何人侵犯。但是，随着人工智能的发展，人工智能作为人类辅助工具与大脑关系越来越密切，以大脑数据为基础的人工智能也会应运而生。34私人版ChatGPT34也会慢慢的进入个人生活。大脑数据价值的日益凸显，对大脑数据的研究和商业化已经是未来发展趋势，作为大脑数据的34主人翁34既可以自主选择其应用价值，也可以将其融入34私人版ChatGPT34作为自己的人工帮手。;0.9999998234239902
-------;--------;--------;0.39695960163187993
大家最想了解哪款工具？我来安排详细的教程脱单doge;pptppt;0.0
大家最想了解哪款工具？我来安排详细的教程脱单doge;PPT;0.0
大家最想了解哪款工具？我来安排详细的教程脱单doge;ai代码脱单doge脱单doge;-0.5135757668141745
大家最想了解哪款工具？我来安排详细的教程脱单doge;ai代码;0.20015981070484035
大家最想了解哪款工具？我来安排详细的教程脱单doge;Ai辅助写作;0.1064744385208638
大家最想了解哪款工具？我来安排详细的教程脱单doge;蹲蹲;0.48940138246413256
大家最想了解哪款工具？我来安排详细的教程脱单doge;ai辅助写作;0.1064744385208638
大家最想了解哪款工具？我来安排详细的教程脱单doge;AI绘画。但是我发现目前的AI绘画都无法生成我想要的效果。就是生成出来的都太专业了。我给了简笔画，可爱的关键词，却一直给我儿插效果的图。不是国内现在流行的扁平风或者真的简笔画的图。;0.9528103722087662
大家最想了解哪款工具？我来安排详细的教程脱单doge;有教育方面的AI吗？比如：口语对练AI;0.26432962725812037
大家最想了解哪款工具？我来安排详细的教程脱单doge;AI炒股嗑瓜子;-0.8473860074681114
大家最想了解哪款工具？我来安排详细的教程脱单doge;AI绘画;0.10220555516226493
大家最想了解哪款工具？我来安排详细的教程脱单doge;其实都想学习学习。;0.9077545317023052
大家最想了解哪款工具？我来安排详细的教程脱单doge;期待让我躺平就能健身，赚钱，做饭，洗衣服的ai;-0.5315553771800743
大家最想了解哪款工具？我来安排详细的教程脱单doge;ppt和视频的;0.5818102462331947
大家最想了解哪款工具？我来安排详细的教程脱单doge;回复非洲大野喵属于是ai帮着赔钱了;-0.18444905977189063
大家最想了解哪款工具？我来安排详细的教程脱单doge;AI编程;0.5919448877372049
大家最想了解哪款工具？我来安排详细的教程脱单doge;AI写作;0.15805705725530794
大家最想了解哪款工具？我来安排详细的教程脱单doge;写作写作;0.3551286910867173
大家最想了解哪款工具？我来安排详细的教程脱单doge;Ppt;0.0
大家最想了解哪款工具？我来安排详细的教程脱单doge;脑机接口作为大脑与外界的连接工具，从根本意义上来说，不应该对大脑传递任何信号。大脑作为人的34私人领地34，其数据有重要的价值，容不得任何人侵犯。但是，随着人工智能的发展，人工智能作为人类辅助工具与大脑关系越来越密切，以大脑数据为基础的人工智能也会应运而生。34私人版ChatGPT34也会慢慢的进入个人生活。大脑数据价值的日益凸显，对大脑数据的研究和商业化已经是未来发展趋势，作为大脑数据的34主人翁34既可以自主选择其应用价值，也可以将其融入34私人版ChatGPT34作为自己的人工帮手。;0.9999998234239902
大家最想了解哪款工具？我来安排详细的教程脱单doge;做表格的;0.6192680222913514
大家最想了解哪款工具？我来安排详细的教程脱单doge;修音的怎么弄呀，up;-0.513268319184893
大家最想了解哪款工具？我来安排详细的教程脱单doge;copilot;0.0
-------;--------;--------;0.16719931974568605
Ai不会取代你的工作。用ai的人会;呆所以说AI就是垃圾;-0.8315476755964357
Ai不会取代你的工作。用ai的人会;回复GPT仅5得所以人要去应变，没人规定你不可以用;-0.9893326883706963
Ai不会取代你的工作。用ai的人会;回复GPT找我仅5这波评论和ID配合的不是很好;-0.8435948351390712
Ai不会取代你的工作。用ai的人会;回复GPT找我仅5爱用不用，最终比的都是效率，你觉得你比ai更牛你当然可以不用;-0.7854317106348254
Ai不会取代你的工作。用ai的人会;GPT只是工具;0.2999337424131625
Ai不会取代你的工作。用ai的人会;回复balabala欧叶可能用腻了;-0.9020947125313139
Ai不会取代你的工作。用ai的人会;脑机接口作为大脑与外界的连接工具，从根本意义上来说，不应该对大脑传递任何信号。大脑作为人的34私人领地34，其数据有重要的价值，容不得任何人侵犯。但是，随着人工智能的发展，人工智能作为人类辅助工具与大脑关系越来越密切，以大脑数据为基础的人工智能也会应运而生。34私人版ChatGPT34也会慢慢的进入个人生活。大脑数据价值的日益凸显，对大脑数据的研究和商业化已经是未来发展趋势，作为大脑数据的34主人翁34既可以自主选择其应用价值，也可以将其融入34私人版ChatGPT34作为自己的人工帮手。;0.9999998234239902
-------;--------;--------;-0.4360097223478843
不是担心，但凡你是美术行业就知道大公司已经开始裁员使用ai了。学原画就是冤大头呲牙呲牙;一个熟练的ai操作员保底可以替代10个画师，大家都是用脚投票的。再说ai出图效果比一般画师还精美，主要是稳定效率高，不开工资才是大头;0.14774156001374905
不是担心，但凡你是美术行业就知道大公司已经开始裁员使用ai了。学原画就是冤大头呲牙呲牙;回复丶打个比方丶对啊，反正版权问题要ai工作人员承担，和公司无关，尽情喂图最后ai越来越棒;-0.9318796067207744
不是担心，但凡你是美术行业就知道大公司已经开始裁员使用ai了。学原画就是冤大头呲牙呲牙;回复坐忘道小一一没必要破大防吧，除了真人的有肖像权难道风格还有版权？就算有，画师画的不用买，ai画的就要买？;-0.8884408353712803
不是担心，但凡你是美术行业就知道大公司已经开始裁员使用ai了。学原画就是冤大头呲牙呲牙;回复丶打个比方丶你理解错了，ai的素材库都是人画的图片。ai是把这些人画的图在作者没有授权的情况下粉碎成一个个像素再根据要求拼接成ai图片。实际上是没有版权的，所以有版权风险，目前还是灰色地带;-0.9751061660504048
不是担心，但凡你是美术行业就知道大公司已经开始裁员使用ai了。学原画就是冤大头呲牙呲牙;回复剑崎敦那你想多了，画画的初学者也是通过临摹逐渐形成了自己的独特风格，ai绘画只是把这一过程缩短了无数倍。里面有lora可以调比例，形成不同画风，现在还有骨骼框架，你给张骨骼图它给你补全润色，这种不是灰色地带了吧。说一个现实例子，黑灯工厂了解一下，以前要上千人流水线工作，现在只需要两个在操作台看仪表，人力不及机器这是不争的事实，利益冲突总会被历史车轮碾过;0.9950025395767137
不是担心，但凡你是美术行业就知道大公司已经开始裁员使用ai了。学原画就是冤大头呲牙呲牙;回复丶打个比方丶很简单，因为你不是学美术也不在约稿区，见识少了随便怎么说，偷别人画的图生成ai拿来卖的一堆，真人的我也看过不下十个被喂图的，他们维权都没法维权，为什么抵制？你身边可能没有美术行业，但是你的姐妹，亲戚，朋友，同学女性都有可能被ai生成h图，你没办法帮她维权。只要你有心，就去搜一搜，你是男的当我没说OK;-0.008768945150768426
不是担心，但凡你是美术行业就知道大公司已经开始裁员使用ai了。学原画就是冤大头呲牙呲牙;回复丶打个比方丶画没版权。乐嘘声嘘声嘘声;-0.980447068008222
不是担心，但凡你是美术行业就知道大公司已经开始裁员使用ai了。学原画就是冤大头呲牙呲牙;回复剑崎敦你对ai的印象还停留在早期，现在早就不是这样了，人家跟人一样，也是学了技术然后自己画的。;0.6348444084812908
不是担心，但凡你是美术行业就知道大公司已经开始裁员使用ai了。学原画就是冤大头呲牙呲牙;回复坐忘道小一一昨天看到有人说AI作图没有版权你自己可以用别人拿过去也可以用;-0.8859932978286347
不是担心，但凡你是美术行业就知道大公司已经开始裁员使用ai了。学原画就是冤大头呲牙呲牙;回复霸王龙骨架摧毁摩天轮但是可以注册，有人偷图生成ai后注册版权还成功了，大公司开会也是，标注了ai作图的版权问题由担任工作的画师负责，这可是商用;-0.9965333740191427
不是担心，但凡你是美术行业就知道大公司已经开始裁员使用ai了。学原画就是冤大头呲牙呲牙;下次能试试写小说吗;0.7998500553751995
