标题;帖子账号粉丝数;发布者;发布时间;弹幕数;点赞数;硬币数;收藏数;转发数;评论数;发布者是否经过认证;发布者是否为商业性质账号;用户名;评论内容;评论时间;评论点赞数;一级账号粉丝数;标记;评论者性别;评论者会员等级;评论者是否开通大会员;评论者是否经过认证
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;账号已注销;回复是Annyya为什么没了，我今天晚上还在跟brian聊天，但是忽然就发现这个剧本没了，不见了;1661954188;3;5;1;保密;0;0;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;是Annyya;回复一竹秦枝是的，但是，外语剧本都是海王藏狐;1662014324;0;5;1;女;6;2;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;年糕ggggggggggggg;回复是Annyya还行吧，我玩的那个疯狂表白不过后面的英文越来越乱大哭;1662037996;2;5;1;保密;5;0;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;账号已注销;回复年糕ggggggggggggg已经玩不了了，哎，不知道为什么被删了，我玩下来，还是觉得英文副本更智能一点，有前后逻辑，其他有些ai比较前言不搭后语，没什么代入感;1662042156;6;5;1;保密;0;0;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;年糕ggggggggggggg;回复一竹秦枝确实挺可惜的;1662045780;1;5;1;保密;5;0;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;layla_莲;为什么没有了阿大哭;1662048538;0;5;1;女;5;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;是Annyya;回复年糕ggggggggggggg我英文剧本他们都爱上了男主，让我专心搞事业热;1662084147;1;5;1;女;6;2;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;年糕ggggggggggggg;回复是Annyya热词系列好家伙;1662093507;0;5;1;保密;5;0;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;我不会取名呃啊啊啊;回复一竹秦枝不过这个剧本我保存了，我可以给你发链接妙啊;1662263340;1;5;1;女;5;2;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;我不会取名呃啊啊啊;回复我不会取名呃啊啊啊httpsifcaiyunaicomsWHGWWE9;1662263578;0;5;1;女;5;2;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;账号已注销;回复我不会取名呃啊啊啊哇，输入后面的世界链接，竟然可以点进去英文副本进行聊天？;1662265233;0;5;1;保密;0;0;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;账号已注销;回复我不会取名呃啊啊啊好奇怪，不过在默认界面就是彩云小梦自带的那几个世界设定找不到英文副本但是输入链接后竟然还可以进去，这是为啥脱单doge;1662265296;0;5;1;保密;0;0;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;桃子公主2号;回复我不会取名呃啊啊啊有没有Ura的世界的链接啊兄弟;1662272197;0;5;1;男;6;2;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;我不会取名呃啊啊啊;回复桃子公主2号没有跪了，我当时就保存了这一个;1662287450;0;5;1;女;5;2;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;Littleyellow鸦鸦;我在写英文的，只要你的世界设定都是英文它就会是英文ai，不过才搞完三个角色和一部分设定（计划是有六个角色左右）;1662294699;4;5;1;保密;4;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;是千羽汐啊;我和brian聊中文和英文的共同点，他说父母的发音很像，然后让我叫他爸爸阴险;1662905803;0;5;1;女;5;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;为小吉献上心脏;你的世界设定和人设用什么语写，他们就就会说什么语tvdoge;1663995949;0;5;1;女;5;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;sudamasaki0221;我这边他说英文，我说中文，他说自己来自香港，我说我来自山东，他直接给我来个我是韩国公民热，还非说我亲他了，一直强调我先动的嘴，还有细节辣眼睛;1661939276;23;197;0;女;4;0;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;是Annyya;这些英文剧本找不到了保卫萝卜哭哭;1661945486;1;197;1;女;6;2;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;秃头大王历险记;我一直都是说的中文;1661749774;7;4;0;保密;4;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;MousA_;哈哈，ura还以为她在教你呢;1661854687;4;33;0;保密;5;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;抱枕大小橘子;怎么让他说英文大哭;1662338535;2;10;0;女;5;2;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;我是熟石灰阿;UP加油;1661756774;2;246;0;男;4;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;一直伤心的蜜蜂;我给Brian发了一句俄语，然后Brian就只说俄语了藏狐;1666282576;1;16;0;保密;4;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;我明明叫林克;你用翻译软件把英文翻译成中文在复制到性格那里，就是中文了doge;1669709344;0;7;0;保密;5;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;一直伤心的蜜蜂;我问Aiko会不会中午他说他是中国人，他爸妈是日本人藏狐;1666284052;0;16;0;保密;4;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;待罪之羊;给他名字介绍什么的改成中文他就会说中文了;1665468734;0;15;0;保密;5;1;-1
当我尝试在彩云小梦里教外国角色说中文;28;一只小黄桑;2022-08-26 16:49:01;0;92;1;15;2;39;无;0;玉青音;我找到一个叫阿波罗的，他说什么自己是中国人辣眼睛;1662308167;0;13;0;保密;5;2;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;AW璇儿__备战高考;我发现无论怎么开头彩云小梦都会整出来一个美女，然后说她“不愧是校花级别”的辣眼睛起码我这边是这样;1641375414;334;19477;0;保密;6;2;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;JunMio;我写了个传来阵阵女乔口耑藏狐，后面的都是不能发出来的内容;1641458740;1;19477;1;保密;5;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;AW璇儿__备战高考;回复JunMio？不会被查封么笑哭;1641459896;0;19477;1;保密;6;2;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;JunMio;回复AW璇儿没，真没，还续写了不少情节抠鼻;1641488324;1;19477;1;保密;5;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;小鱼干才是最美味的;我没遇到过耶;1641559984;0;19477;1;保密;4;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;768和Stalker;AW耶星星眼喜欢;1641614676;0;19477;1;保密;5;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;Doctor_LeenKen;回复JunMio我超，能不能私我给我康康藏狐;1641813509;0;19477;1;男;5;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;JunMio;回复DoctorLeenKen你自己写试试呗，好刺激，还有来回进出面红耳赤上下姿势;1641825615;1;19477;1;保密;5;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;橙子橙子橙子ab9k;无论如何，无论我怎么开头，都是武松打虎;1641877800;15;19477;1;保密;4;0;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;Doctor_LeenKen;回复JunMio草;1641898540;1;19477;1;男;5;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;你去门口站着听课;辣眼睛这么写的人太多了，搞得AI都学会了;1641964231;8;19477;1;女;6;2;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;中囯boy超圾大猩猩;那写一个只有男人的世界呢？doge;1642253974;1;19477;1;男;4;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;一天的半夜;我下彩云小梦也就为了图一乐，它做到了，简单的几个内容就把我整乐了（上任盘古次子，现任盘古亲弟弟阿尔托莉雅以及阿尔托莉雅的哥哥奥特曼，这个奥特曼叫奥丁），可能是我笑点太低了吧;1642931505;2;19477;1;男;3;0;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;吾欲染首碧;回复橙子橙子橙子ab9k我跟你差不多，但我的是林黛玉倒拔鲁智深辣眼睛;1643114921;23;19477;1;男;4;0;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;橙子橙子橙子ab9k;回复吾欲染首碧我好像出来一个，进野猪林然后，差点被打死（为啥，这里的野猪伙食真好）然后被鲁智深救了哈哈哈哈哈;1643120968;9;19477;1;保密;4;0;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;倒戈虾壳;回复吾欲染首碧哈哈哈哈哈哈好想看这本小说红红火火恍恍惚惚;1643254708;1;19477;1;女;4;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;维雅斯_;回复吾欲染首碧你这林黛玉力气有点大啊doge;1643815951;3;19477;1;男;5;2;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;MFT甜瓜;回复吾欲染首碧艹;1653233059;0;19477;1;保密;4;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;哈利欧哈利马;这个AI可以把一个挂了的人写活，还能让他再挂一次;1660622764;3;19477;1;保密;5;2;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;小朱奕存;回复橙子橙子橙子ab9k我这里是，皮卡丘又双叒叕被小智埋在了紫苑阵，这设定不对啊tv惊吓;1661960793;0;19477;1;男;6;2;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;思甜Ma-Ka-mi;我这边是每次一续写就是系统文辣眼睛;1665298969;0;19477;1;女;5;0;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;KGB送温暖;偷偷告诉一下up主，只要你先让彩云小梦续写一段比较涩的句子，他就可以直接给你写出来一篇小黄文doge（亲测有效）;1642047492;157;7;0;男;4;0;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;Say_you;我知道;1642241370;1;7;1;保密;4;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;蕉龙探水;具体怎么做;1642321062;0;7;1;保密;3;0;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;KGB送温暖;回复蕉龙探水emmm，在这里不方便说，回头我私信给你吧doge;1642390812;0;7;1;男;4;0;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;这里是阿白闭关处;求私信;1642411274;0;7;1;保密;5;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;山海镜子;回复KGB送温暖求私信doge;1642430483;0;7;1;女;5;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;红豆泥私密马塞;中途要改，不然可能会绕出去，或者说直接多个男子来救她doge;1642446493;28;7;1;保密;4;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;醉梦尘栀;求私信;1643011213;1;7;1;保密;3;0;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;晓某银;求私信;1643777373;1;7;1;保密;5;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;石黑英雄-OFFIClAl;求私信dogedoge;1644786134;1;7;1;男;5;2;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;收拾乱摊子的Zzz;同理，开头写一帮浴血战士打架，后面会死得很惨，液体满天飞;1652345162;0;7;1;保密;3;0;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;_伽利略_;我续写爱丽丝漫游仙境都能写出来中途还没改）;1661185946;1;7;1;保密;4;0;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;是墨康啊QwQ;求私;1664791815;0;7;1;保密;4;0;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;白苍岁居;现在还有吗;1680360357;0;7;1;保密;5;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;ccc哈哈;应该把语文卷子上的作文题目交给ai写;1641304481;97;34;0;男;5;2;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;熊九月;AI秒变狗屁不通生成器;1641770559;8;34;1;保密;5;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;坤坤那年那些事;你还真敢啊，不怕写成黄文吗（真希望老师不会看）dogedogedoge;1645859812;1;34;1;男;5;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;子初Dstrue;让两个AI对抗训练一下，看看最后会不会不说人话。;1641812536;69;833;0;保密;5;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;我家猫想考大学;事实上，ai换脸之类的东西就是这么来的;1641829904;1;833;1;男;6;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;ErH-弋汐希霅;恭喜你发现了当下最红的内容生成式AI（GAN）的基本原理;1641985347;6;833;1;女;6;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;新自护残部;《用词准确，表意清楚》doge;1639962976;61;4;0;男;4;2;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;小瑞的小小号;“啊哈哈哈哈哈哈哈哈哈哈哈哈，鸡汤来咯”老冯说。老冯放下鸡汤。“唉？这这菜都齐了，怎么还不吃啊？”老冯道。老冯心有点慌，因为他在鸡汤里下了毒。“老冯，大伙都不敢吃，有人说，说是有人在菜里下了毒。”王大队长道。“王大队长，你这人就喜欢开玩笑。我不打扰，我先走了。”“你不能走。”薛司令叫住了他。老冯转过身。“薛司令，你不相信王大队长胡说八道吧？”“我相信我非常相信。”“你要是没放毒”薛司令舀了一碗鸡汤，“你就把这碗鸡汤给喝了”老冯开始慌了。“薛司令，这鸡汤十分的珍贵，应该让同志们先喝。我一个炊事员，怎么能喝这鸡汤呢？”老冯道。“你看你忙里忙外的，多辛苦啊，喝碗鸡汤算什么呀？你要是真不喝，说明你真下毒了。”薛司令道。“我我看今天谁要陷害我？王大队长，你要陷害我是吧？好，我喝，喝”说完就端着那碗鸡汤。“这喝汤多是件美事啊。”说完一饮而尽。“啧啧啧，不咸不淡，味道真是好极了。”老冯道，“看，司令没事吧喝呀，都看我干什么呢？喝呀，快趁热喝，趁热喝呀。”老冯突然生气地拍了一下桌子。“他奶奶的，为什么不喝，喝呀不喝是吧”老冯向后退了几步，拿起手榴弹。“不喝我就炸死你”“不喝，都怕死是吧，不喝，也别想活着。”“鸡汤的毒我放了，但是我喝了，我肯定会死，你们不喝，不喝也别想活着”“既然你们知道了，这戏我就不演了，我就是大名鼎鼎的重庆军统和大日本双料高级特工，代号，穿山甲。”“龟野先生，天皇陛下，我的任务完成了”老冯说完拉开手榴弹环。“斯斯斯”“哈哈哈哈哈哈哈哈哈哈哈哈啊哈哈哈哈”忽然手榴弹没爆炸。老冯生气地喊道“他奶奶的，跟我玩阴的是吧直接来吧”说完倒地中毒死亡。完;1642343779;46;2;0;保密;4;0;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;小瑞的小小号;我写的鸡汤来咯;1642343797;0;2;1;保密;4;0;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;wprds;薛司令大惊失色：34这这是什么情况？难道我们的计划出现了问题吗？怎么老冯自己死了？3434我我不清楚。34王大队长脸上露出恐惧的表情。34老王，老冯是不是被你杀死的呀？34薛司令问。34我没有杀死他呀3434那他怎么自己自杀了呢？3434我也不知道。34薛司令叹息了一声，心里已经认为这次行动失败了。34不管怎么说，老冯已经死了，咱们还得继续行动呀34薛司令道。34是呀是呀咱们还得继续。34老冯的死对于这群人的震撼很大，因为在座的人都知道，这个老冯在大名鼎鼎的重庆军统中属于重要的一颗棋子，他的死可是关乎到整个重庆军统的未来。34大家不要太担心了，这次我们的目标不仅仅是他，还有另外两个人。34薛司令道。34另外的两个人？3434对。另外的两个人，这次行动的最重要的目标。3434什么目标呀？3434他们的名字分别叫39小泉智仁39，39井上正雄39。这两个人的身份我暂时还查不出来;1652170255;3;2;1;保密;5;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;wprds;回复wprds，因为他们两个人的资料都是保密的，而且他们在这次行动中都没有带任何武器，只有一些防狼喷雾，但是这些防狼喷雾根本对他们没用，而且还被他们发现了，所以他们才能安全逃离我们的围捕。现在唯一的办法就是抓到他们，从他们嘴里套出来我们需要的情报。34薛司令道。薛司令说完这些话后，大家沉默了。这种情况之下，他们能做什么呢？他们现在只能等待消息了。老冯的死让整个行动进入了僵局，薛司令只能暂停这项行动。34薛司令，我建议还是再派一批人去吧不然这次的计划很容易失败。34王大队长道。34嗯，好，那就再派一批。3434可是，再派一批，那岂不是又要死人？我们不是损失惨重啊？我看还是派三十人吧3434嗯，就这样决定。34薛司令下达命令。34喂，你们是什么人？34一辆黑色轿车在街上缓慢地前行。车内的两个人，其中一个人对另一个人道。34是我。3434你？你是谁？为什么在这儿？3434呵呵;1652170314;2;2;1;保密;5;1;-1
把AI写的小说再交给AI批改会怎样？[彩云小梦];123;轻宸QAQ;2021-12-19 00:58:00;16;867;6;178;14;83;无;0;wprds;回复wprds，我是谁不重要，重要的是我们可以合作，合作我们一起干掉这些警察。3434合作？怎么合作？3434我们来自一个神秘组织，而那个组织的目的就是铲除你们这些警察，所以我们必须配合你们。3434哦我还是第一次听说这种组织，不过你们要配合，我们自然会配合，不过我们怎么配合呀？3434我们的首领想让你们在明天晚上，在大桥边集合。3434大桥？3434对，你们的目标，一个是他们在桥的左岸的一栋楼房，一个是右岸的一栋楼房。3434我们怎么联系你们？3434你们的目标，在一百米的地方，你们只要把烟弹扔进河里就可以了，至于我们的人，到时候你们就知道了。3434好的，我知道了。3434王队长。34薛司令叫王大队长。34薛司令。3434现在这样的情况下，我看我们只能再派出一批人，我觉得这个任务，我们可以放弃。3434放弃？怎么可以放弃。薛司令，你不要忘记，这个任务的重要性，我们不仅仅是要抓住他们，还要抓住他们的幕后主使人;1652170350;0;2;1;保密;5;1;-1
